Plaintext,Ciphertext,CipherType
He glanced up at the clock on the wall,SV TOZMXVW FK ZG GSV XOLXP LM GSV DZOO,atbash
He glanced up at the clock on the wall,RC MLIVSCX EF IZ ZRC SLASG AV ZRC OILL,affine
He glanced up at the clock on the wall,GYHFDPDOGEVHUZGYLSCLEKMUGYYBIZ,playfair
He glanced up at the clock on the wall,Hlep  cnelegacdu ttecoko h al n ahl tw,rail_fence
He glanced up at the clock on the wall,00111 00100 00110 01011 00000 01101 00010 00100 00011 10100 01111 00000 10011 10011 00111 00100 00010 01011 01110 00010 01010 01110 01101 10011 00111 00100 10110 00000 01011 01011,bacon
The wind howled through the trees,Jxu mydt xembut jxhekwx jxu jhuui,caesar
The wind howled through the trees,SQW NUPM QLNTWM SQRLBJQ SQW SRWWX,substitution
The wind howled through the trees,seert eht hguorht delwoh dniw ehT,transposition
The wind howled through the trees,VVH AKBG LQKOIF HKVQIJL VVH XTSHW,vigenere
The wind howled through the trees,GSV DRMW SLDOVW GSILFTS GSV GIVVH,atbash
The wind howled through the trees,ZRC OWVX RAOLCX ZRPAEMR ZRC ZPCCU,affine
The wind howled through the trees,VFYOGQAGKOGORUFAEZHIVFKUDKON,playfair
The wind howled through the trees,Tw ltuttsh idhwe hog h reenodrhee,rail_fence
The wind howled through the trees,10011 00111 00100 10110 01000 01101 00011 00111 01110 10110 01011 00100 00011 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 10011 10001 00100 00100 10010,bacon
She picked up the book and started reading,Dsp atnvpo fa esp mzzv lyo delcepo cplotyr,caesar
She picked up the book and started reading,PLR XJMQRO GX ILR VYYQ HFO PIHEIRO ERHOJFC,substitution
She picked up the book and started reading,gnidaer detrats dna koob eht pu dekcip ehS,transposition
She picked up the book and started reading,UVH TKQNIF IS XJS ESQY DRF GWETHHH TSDHKBJ,vigenere
She picked up the book and started reading,HSV KRXPVW FK GSV YLLP ZMW HGZIGVW IVZWRMT,atbash
She picked up the book and started reading,URC FWSGCX EF ZRC NAAG IVX UZIPZCX PCIXWVM,affine
She picked up the book and started reading,PLYNLBEYGEMVGYCWKEDPCNVRFKDGDKBAGQIU,playfair
She picked up the book and started reading,Spepeonteenh ikdu h okadsatdraigec tb  r d,rail_fence
She picked up the book and started reading,10010 00111 00100 01111 01000 00010 01010 00100 00011 10100 01111 10011 00111 00100 00001 01110 01110 01010 00000 01101 00011 10010 10011 00000 10001 10011 00100 00011 10001 00100 00000 00011 01000 01101 00110,bacon
The sound of the piano echoed through the house,Pda okqjz kb pda lewjk aydkaz pdnkqcd pda dkqoa,caesar
The sound of the piano echoed through the house,CHB ODZNG DM CHB ERPND BIHDBG CHJDZUH CHB HDZOB,substitution
The sound of the piano echoed through the house,esuoh eht hguorht deohce onaip eht fo dnuos ehT,transposition
The sound of the piano echoed through the house,LLG JSNFH QW XAW TKRRH WGJFIW LLTFYZZ XJV LHMWG,vigenere
The sound of the piano echoed through the house,GSV HLFMW LU GSV KRZML VXSLVW GSILFTS GSV SLFHV,atbash
The sound of the piano echoed through the house,ZRC UAEVX AH ZRC FWIVA CSRACX ZRPAEMR ZRC RAEUC,affine
The sound of the piano echoed through the house,VFONEZUGKLVFYNHBSEODLYDGVFCKENFVGYLYZNWU,playfair
The sound of the piano echoed through the house,Tsd  ncdrheuh on ftepaoehe hog h oseuohi otuthe,rail_fence
The sound of the piano echoed through the house,10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 10011 00111 00100 01111 01000 00000 01101 01110 00100 00010 00111 01110 00100 00011 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 00111 01110 10100 10010 00100,bacon
The lanterns flickered in the evening breeze,Hvs zobhsfbg tzwqysfsr wb hvs sjsbwbu pfssns,caesar
The lanterns flickered in the evening breeze,EVH SLUEHCUI XSKBMHCHN KU EVH HYHUKUD FCHHJH,substitution
The lanterns flickered in the evening breeze,ezeerb gnineve eht ni derekcilf snretnal ehT,transposition
The lanterns flickered in the evening breeze,LLG CEGLITEW YDMEBIKWH KE XAW IXVRBFK DIIXRI,vigenere
The lanterns flickered in the evening breeze,GSV OZMGVIMH UORXPVIVW RM GSV VEVMRMT YIVVAV,atbash
The lanterns flickered in the evening breeze,ZRC LIVZCPVU HLWSGCPCX WV ZRC CJCVWVM NPCCDC,affine
The lanterns flickered in the evening breeze,VFOGDPUKDMMLFLROKDDGGQVFWUUYQGUNCDWUUO,playfair
The lanterns flickered in the evening breeze,Tle ceneegeh atrsfikrdi h vnn reeennle teibz,rail_fence
The lanterns flickered in the evening breeze,10011 00111 00100 01011 00000 01101 10011 00100 10001 01101 10010 00101 01011 01000 00010 01010 00100 10001 00100 00011 01000 01101 10011 00111 00100 00100 10101 00100 01101 01000 01101 00110 00001 10001 00100 00100 11001 00100,bacon
He crossed the street without looking both ways,Wt rgdhhts iwt higtti lxiwdji addzxcv qdiw lpnh,caesar
He crossed the street without looking both ways,HG UQORRGI DHG RDQGGD AEDHOKD TOOXEFS BODH APMR,substitution
He crossed the street without looking both ways,syaw htob gnikool tuohtiw teerts eht dessorc eH,transposition
He crossed the street without looking both ways,JS FVQGVIF HKI UHUIGH ZMVVRYV ZRSMWQK DCWL YOBW,vigenere
He crossed the street without looking both ways,SV XILHHVW GSV HGIVVG DRGSLFG OLLPRMT YLGS DZBH,atbash
He crossed the street without looking both ways,RC SPAUUCX ZRC UZPCCZ OWZRAEZ LAAGWVM NAZR OIYU,affine
He crossed the street without looking both ways,GYRDCZNORUGYMZDKKUBQVFEZZFWZWFUNCWVFYBOP,playfair
He crossed the street without looking both ways,Hrehttttogtaecosdtesre ihu okn ohwy s  ewolib s,rail_fence
He crossed the street without looking both ways,00111 00100 00010 10001 01110 10010 10010 00100 00011 10011 00111 00100 10010 10011 10001 00100 00100 10011 10110 01000 10011 00111 01110 10100 10011 01011 01110 01110 01010 01000 01101 00110 00001 01110 10011 00111 10110 00000 11000 10010,bacon
The mountain range stretched out in front of him,Max fhngmtbg ktgzx lmkxmvaxw hnm bg ykhgm hy abf,caesar
The mountain range stretched out in front of him,IPU ESTMIAVM CAMGU YICUIHPUL STI VM FCSMI SF PVE,substitution
The mountain range stretched out in front of him,mih fo tnorf ni tuo dehcterts egnar niatnuom ehT,transposition
The mountain range stretched out in front of him,LLG DSNFXCZR KSRIV WMJIVTLXV SWK MG XVQEX HX LKD,vigenere
The mountain range stretched out in front of him,GSV NLFMGZRM IZMTV HGIVGXSVW LFG RM UILMG LU SRN,atbash
The mountain range stretched out in front of him,ZRC QAEVZIWV PIVMC UZPCZSRCX AEZ WV HPAVZ AH RWQ,affine
The mountain range stretched out in front of him,VFKNEZMUBHMDDPNDMZDKZRGYCEVUGQMFESZKGIFQ,playfair
The mountain range stretched out in front of him,Tmt gtc  ft h onanrnesrthdoti rn fhmeuia eeunooi,rail_fence
The mountain range stretched out in front of him,10011 00111 00100 01100 01110 10100 01101 10011 00000 01000 01101 10001 00000 01101 00110 00100 10010 10011 10001 00100 10011 00010 00111 00100 00011 01110 10100 10011 01000 01101 00101 10001 01110 01101 10011 01110 00101 00111 01000 01100,bacon
"She stepped into the room, glancing around","Ynk yzkvvkj otzu znk xuus, mrgtiotm gxuatj",caesar
"She stepped into the room, glancing around","PIB POBAABZ XGOH OIB KHHW, SMFGCXGS FKHJGZ",substitution
"She stepped into the room, glancing around","dnuora gnicnalg ,moor eht otni deppets ehS",transposition
"She stepped into the room, glancing around","UVH WVSSTGR LRVC WLG FRSO, UOEPQLRI OUSWBG",vigenere
"She stepped into the room, glancing around","HSV HGVKKVW RMGL GSV ILLN, TOZMXRMT ZILFMW",atbash
"She stepped into the room, glancing around","URC UZCFFCX WVZA ZRC PAAQ, MLIVSWVM IPAEVX",affine
"She stepped into the room, glancing around",PLONUKQVDGGQZKVFKDWZNFHCSDGQHDCKEUBU,playfair
"She stepped into the room, glancing around","Sspi  mlianh tpe notero,gacn rudeedtho ngo",rail_fence
"She stepped into the room, glancing around",10010 00111 00100 10010 10011 00100 01111 01111 00100 00011 01000 01101 10011 01110 10011 00111 00100 10001 01110 01110 01100 00110 01011 00000 01101 00010 01000 01101 00110 00000 10001 01110 10100 01101 00011,bacon
The smell of fresh-cut grass filled the air,Aol ztlss vm mylzo-jba nyhzz mpsslk aol hpy,caesar
The smell of fresh-cut grass filled the air,UXZ CTZFF MA ABZCX-VRU DBWCC AKFFZY UXZ WKB,substitution
The smell of fresh-cut grass filled the air,ria eht dellif ssarg tuc-hserf fo llems ehT,transposition
The smell of fresh-cut grass filled the air,VVH WOSOP QT IVGGK-GWH JVCGV JKZOIF HKI CWU,vigenere
The smell of fresh-cut grass filled the air,GSV HNVOO LU UIVHS-XFG TIZHH UROOVW GSV ZRI,atbash
The smell of fresh-cut grass filled the air,ZRC UQCLL AH HPCUR-SEZ MPIUU HWLLCX ZRC IWP,affine
The smell of fresh-cut grass filled the air,VFONNKIZKLMFONLAVUFDCPMLLFGORUGYBHBT,playfair
The smell of fresh-cut grass filled the air,Tsl sur ltah ml ffehctgasfle h ieeor- sider,rail_fence
The smell of fresh-cut grass filled the air,10011 00111 00100 10010 01100 00100 01011 01011 01110 00101 00101 10001 00100 10010 00111 00010 10100 10011 00110 10001 00000 10010 10010 00101 01000 01011 01011 00100 00011 10011 00111 00100 00000 01000 10001,bacon
He walked slowly down the cobbled street,Eb txihba piltiv altk qeb zlyyiba pqobbq,caesar
He walked slowly down the cobbled street,QR XTNPRZ YNJXNC ZJXA IQR GJLLNRZ YIWRRI,substitution
He walked slowly down the cobbled street,teerts delbboc eht nwod ylwols deklaw eH,transposition
He walked slowly down the cobbled street,RI UKPIOH QVSUVC BYAL DLC MSZLPCN WRBICD,vigenere
He walked slowly down the cobbled street,SV DZOPVW HOLDOB WLDM GSV XLYYOVW HGIVVG,atbash
He walked slowly down the cobbled street,RC OILGCX ULAOLY XAOV ZRC SANNLCX UZPCCZ,affine
He walked slowly down the cobbled street,GYYBFODGZSKOHOCEEQVFODWCCIDGMZDKKU,playfair
He walked slowly down the cobbled street,Hado nebdrewle lwydw h obe tet kslotclse,rail_fence
He walked slowly down the cobbled street,00111 00100 10110 00000 01011 01010 00100 00011 10010 01011 01110 10110 01011 11000 00011 01110 10110 01101 10011 00111 00100 00010 01110 00001 00001 01011 00100 00011 10010 10011 10001 00100 00100 10011,bacon
The coffee cup warmed her hands,Jxu sevvuu skf mqhcut xuh xqdti,caesar
The coffee cup warmed her hands,RND EJAADD EUQ GXVSDF NDV NXOFH,substitution
The coffee cup warmed her hands,sdnah reh demraw puc eeffoc ehT,transposition
The coffee cup warmed her hands,LLG TSYXIG TYI OETDIW ZIT YEGVW,vigenere
The coffee cup warmed her hands,GSV XLUUVV XFK DZINVW SVI SZMWH,atbash
The coffee cup warmed her hands,ZRC SAHHCC SEF OIPQCX RCP RIVXU,affine
The coffee cup warmed her hands,VFODKLGKODVNYBFTDGGYAFDPCN,playfair
The coffee cup warmed her hands,Tceuadrnh ofecpwre e adef  mhhs,rail_fence
The coffee cup warmed her hands,10011 00111 00100 00010 01110 00101 00101 00100 00100 00010 10100 01111 10110 00000 10001 01100 00100 00011 00111 00100 10001 00111 00000 01101 00011 10010,bacon
The old fence was leaning to one side,Rfc mjb dclac uyq jcylgle rm mlc qgbc,caesar
The old fence was leaning to one side,IAG WPT OGCXG YHF PGHCRCN IW WCG FRTG,substitution
The old fence was leaning to one side,edis eno ot gninael saw ecnef dlo ehT,transposition
The old fence was leaning to one side,LLG FPW XIPTI PSW NVEGARI KS HFI UZHX,vigenere
The old fence was leaning to one side,GSV LOW UVMXV DZH OVZMRMT GL LMV HRWV,atbash
The old fence was leaning to one side,ZRC ALX HCVSC OIU LCIVWVM ZA AVC UWXC,affine
The old fence was leaning to one side,VFYKGCGKSDYOCPGODPGQFUWZUDQLGD,playfair
The old fence was leaning to one side,Tofesag  eh l ec a enn ooesdednwlitni,rail_fence
The old fence was leaning to one side,10011 00111 00100 01110 01011 00011 00101 00100 01101 00010 00100 10110 00000 10010 01011 00100 00000 01101 01000 01101 00110 10011 01110 01110 01101 00100 10010 01000 00011 00100,bacon
She sang softly under her breath,Tif tboh tpgumz voefs ifs csfbui,caesar
She sang softly under her breath,CVU CRAW CLEYHI KADUX VUX FXURYV,substitution
She sang softly under her breath,htaerb reh rednu yltfos gnas ehS,transposition
She sang softly under her breath,KLG JEGY WQWXEQ YPUIK ZIT SVXSXJ,vigenere
She sang softly under her breath,HSV HZMT HLUGOB FMWVI SVI YIVZGS,atbash
She sang softly under her breath,URC UIVM UAHZLY EVXCP RCP NPCIZR,affine
She sang softly under her breath,PLONDPLNKLZFEVUGKDGYDCDKRVIV,playfair
She sang softly under her breath,Ss turreh agsfl ne e rahenoydhbt,rail_fence
She sang softly under her breath,10010 00111 00100 10010 00000 01101 00110 10010 01110 00101 10011 01011 11000 10100 01101 00011 00100 10001 00111 00100 10001 00001 10001 00100 00000 10011 00111,bacon
"The storm raged outside, but the house was warm","Kyv jkfid irxvu flkjzuv, slk kyv yfljv nrj nrid",caesar
"The storm raged outside, but the house was warm","ZSK GZMFH FTYKA MJZGUAK, VJZ ZSK SMJGK CTG CTFH",substitution
"The storm raged outside, but the house was warm","mraw saw esuoh eht tub ,edistuo degar mrots ehT",transposition
"The storm raged outside, but the house was warm","VVH WVCUQ TOJIF CXXUWGI, DIW XJS KSWGH ACG ZETA",vigenere
"The storm raged outside, but the house was warm","GSV HGLIN IZTVW LFGHRWV, YFG GSV SLFHV DZH DZIN",atbash
"The storm raged outside, but the house was warm","ZRC UZAPQ PIMCX AEZUWXC, NEZ ZRC RAEUC OIU OIPQ",affine
"The storm raged outside, but the house was warm",VFONZKFTDBNDCEVUQLGDDXUZGYLYZNYOCPYBFT,playfair
"The storm raged outside, but the house was warm","Tsmgoi   saah tr ae usd,bttehuewswreordteuho  m",rail_fence
"The storm raged outside, but the house was warm",10011 00111 00100 10010 10011 01110 10001 01100 10001 00000 00110 00100 00011 01110 10100 10011 10010 01000 00011 00100 00001 10100 10011 10011 00111 00100 00111 01110 10100 10010 00100 10110 00000 10010 10110 00000 10001 01100,bacon
He opened the window to let in the fresh air,Gd nodmdc sgd vhmcnv sn kds hm sgd eqdrg zhq,caesar
He opened the window to let in the fresh air,VR TBRPRZ MVR XNPZTX MT DRM NP MVR YWRIV QNW,substitution
He opened the window to let in the fresh air,ria hserf eht ni tel ot wodniw eht denepo eH,transposition
He opened the window to let in the fresh air,ZI QGIGWH VYI PARFFA MG PGK MG LLG WVXKL CZV,vigenere
He opened the window to let in the fresh air,SV LKVMVW GSV DRMWLD GL OVG RM GSV UIVHS ZRI,atbash
He opened the window to let in the fresh air,RC AFCVCX ZRC OWVXAO ZA LCZ WV ZRC HPCUR IWP,affine
He opened the window to let in the fresh air,GYYSDUDGVFYOGQCEKXCSKUGQVFKGDKPLBHBT,playfair
He opened the window to let in the fresh air,Hpden lihr eoee h idwt e ntefehar ntwoot  si,rail_fence
He opened the window to let in the fresh air,00111 00100 01110 01111 00100 01101 00100 00011 10011 00111 00100 10110 01000 01101 00011 01110 10110 10011 01110 01011 00100 10011 01000 01101 10011 00111 00100 00101 10001 00100 10010 00111 00000 01000 10001,bacon
The garden was full of butterflies,Kyv xriuve nrj wlcc fw slkkviwczvj,caesar
The garden was full of butterflies,CBH FKORHT AKQ ENZZ ME WNCCHOEZYHQ,substitution
The garden was full of butterflies,seilfrettub fo lluf saw nedrag ehT,transposition
The garden was full of butterflies,DLC QEPNIL GEQ PYJV SD LYRDIPPPGOW,vigenere
The garden was full of butterflies,GSV TZIWVM DZH UFOO LU YFGGVIUORVH,atbash
The garden was full of butterflies,ZRC MIPXCV OIU HELL AH NEZZCPHLWCU,affine
The garden was full of butterflies,VFDNBDGDQECPGTIZKLDXUZKDGFGWQZ,playfair
The garden was full of butterflies,Tgeauoureh adnwsfl fbtefiser  l tl,rail_fence
The garden was full of butterflies,10011 00111 00100 00110 00000 10001 00011 00100 01101 10110 00000 10010 00101 10100 01011 01011 01110 00101 00001 10100 10011 10011 00100 10001 00101 01011 01000 00100 10010,bacon
The candlelight flickered in the dark room,Xli gerhpipmklx jpmgoivih mr xli hevo vssq,caesar
The candlelight flickered in the dark room,AUE FPOVJEJMKUA SJMFBEIEV MO AUE VPIB IQQN,substitution
The candlelight flickered in the dark room,moor krad eht ni derekcilf thgileldnac ehT,transposition
The candlelight flickered in the dark room,DLC MELNPCVMERX DVMAUIPOH GX XFO HYBO PYSK,vigenere
The candlelight flickered in the dark room,GSV XZMWOVORTSG UORXPVIVW RM GSV WZIP ILLN,atbash
The candlelight flickered in the dark room,ZRC SIVXLCLWMRZ HLWSGCPCX WV ZRC XIPG PAAQ,affine
The candlelight flickered in the dark room,VFODDPCGOGLHFVGFLBEYDKBGMUGYABFRCKKS,playfair
The candlelight flickered in the dark room,Tclgfkd  koh adeih lcee ntedr omenltirihar,rail_fence
The candlelight flickered in the dark room,10011 00111 00100 00010 00000 01101 00011 01011 00100 01011 01000 00110 00111 10011 00101 01011 01000 00010 01010 00100 10001 00100 00011 01000 01101 10011 00111 00100 00011 00000 10001 01010 10001 01110 01110 01100,bacon
She pulled the blanket over her shoulders,Qfc nsjjcb rfc zjylicr mtcp fcp qfmsjbcpq,caesar
She pulled the blanket over her shoulders,XAO TVPPOW CAO BPFMJOC RHON AON XARVPWONX,substitution
She pulled the blanket over her shoulders,sredluohs reh revo teknalb eht dellup ehS,transposition
She pulled the blanket over her shoulders,KLG GYEDIF KLX TPCEOXL SXVV AWV UYSNDHGIW,vigenere
She pulled the blanket over her shoulders,HSV KFOOVW GSV YOZMPVG LEVI SVI HSLFOWVIH,atbash
She pulled the blanket over her shoulders,URC FELLCX ZRC NLIVGCZ AJCP RCP URAELXCPU,affine
She pulled the blanket over her shoulders,PLYNZGGORUGYCIDPEYZKUYAFKDPLEZGCKDQZ,playfair
She pulled the blanket over her shoulders,Spehlevhslsh uldtebaktoe e hudrel  n rroe,rail_fence
She pulled the blanket over her shoulders,10010 00111 00100 01111 10100 01011 01011 00100 00011 10011 00111 00100 00001 01011 00000 01101 01010 00100 10011 01110 10101 00100 10001 00111 00100 10001 10010 00111 01110 10100 01011 00011 00100 10001 10010,bacon
The sound of crickets filled the night air,Gur fbhaq bs pevpxrgf svyyrq gur avtug nve,caesar
The sound of crickets filled the night air,VEQ TAGNJ AP KXDKHQVT PDMMQJ VEQ NDUEV IDX,substitution
The sound of crickets filled the night air,ria thgin eht dellif stekcirc fo dnuos ehT,transposition
The sound of crickets filled the night air,VVH WQIQH QT FVKQNIVG IMNZHH VVH RKUKX CWU,vigenere
The sound of crickets filled the night air,GSV HLFMW LU XIRXPVGH UROOVW GSV MRTSG ZRI,atbash
The sound of crickets filled the night air,ZRC UAEVX AH SPWSGCZU HWLLCX ZRC VWMRZ IWP,affine
The sound of crickets filled the night air,VFONEZUGKLRDLBEYZMGLIZDGVFDULHFVBHBT,playfair
The sound of crickets filled the night air,Tsd csl  hih on fcikt ildtengtareuorefehi ,rail_fence
The sound of crickets filled the night air,10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 00010 10001 01000 00010 01010 00100 10011 10010 00101 01000 01011 01011 00100 00011 10011 00111 00100 01101 01000 00110 00111 10011 00000 01000 10001,bacon
He adjusted his tie before heading out the door,Kh dgmxvwhg klv wlh ehiruh khdglqj rxw wkh grru,caesar
He adjusted his tie before heading out the door,JZ XUCYDBZU JHD BHZ VZROWZ JZXUHIK OYB BJZ UOOW,substitution
He adjusted his tie before heading out the door,rood eht tuo gnidaeh erofeb eit sih detsujda eH,transposition
He adjusted his tie before heading out the door,JS DHLIVXGR KMU HLI DSISTS KICRLRI CXX VVH HQCU,vigenere
He adjusted his tie before heading out the door,SV ZWQFHGVW SRH GRV YVULIV SVZWRMT LFG GSV WLLI,atbash
He adjusted his tie before heading out the door,RC IXBEUZCX RWU ZWC NCHAPC RCIXWVM AEZ ZRC XAAP,affine
He adjusted his tie before heading out the door,GYBAGXMZDGILMZGWDWLKDKGYBAGQLEVUVFDGWZBT,playfair
He adjusted his tie before heading out the door,Hdthtbrenuhoeajse i i eoehaigottedo udsef d   r,rail_fence
He adjusted his tie before heading out the door,00111 00100 00000 00011 01001 10100 10010 10011 00100 00011 00111 01000 10010 10011 01000 00100 00001 00100 00101 01110 10001 00100 00111 00100 00000 00011 01000 01101 00110 01110 10100 10011 10011 00111 00100 00011 01110 01110 10001,bacon
The room was quiet except for the ticking clock,Xli vssq aew uymix ibgitx jsv xli xmgomrk gpsgo,caesar
The room was quiet except for the ticking clock,NUA JRRC SWT MHKAN AILAPN XRJ NUA NKLBKEG LFRLB,substitution
The room was quiet except for the ticking clock,kcolc gnikcit eht rof tpecxe teiuq saw moor ehT,transposition
The room was quiet except for the ticking clock,LLG ISHE ACJ UNAIV VBVWTV WSK LLG KMVCMPX GEGGM,vigenere
The room was quiet except for the ticking clock,GSV ILLN DZH JFRVG VCXVKG ULI GSV GRXPRMT XOLXP,atbash
The room was quiet except for the ticking clock,ZRC PAAQ OIU KEWCZ CTSCFZ HAP ZRC ZWSGWVM SLASG,affine
The room was quiet except for the ticking clock,VFKDWZQKCPNXGWUKZBYNKMKCVFKULBWFUNLSCLWT,playfair
The room was quiet except for the ticking clock,Tr  extrecgoh omwsqitecp o h ikn lceoau efttick,rail_fence
The room was quiet except for the ticking clock,10011 00111 00100 10001 01110 01110 01100 10110 00000 10010 10000 10100 01000 00100 10011 00100 10111 00010 00100 01111 10011 00101 01110 10001 10011 00111 00100 10011 01000 00010 01010 01000 01101 00110 00010 01011 01110 00010 01010,bacon
She took a deep breath before stepping onto the stage,Cro dyyu k nooz lbokdr lopybo cdozzsxq yxdy dro cdkqo,caesar
She took a deep breath before stepping onto the stage,LXS BAAW G JSSY QMSGBX QSOAMS LBSYYTIZ AIBA BXS LBGZS,substitution
She took a deep breath before stepping onto the stage,egats eht otno gnippets erofeb htaerb peed a koot ehS,transposition
She took a deep breath before stepping onto the stage,CLC DSMU E BOIN LVCKXF LIDYVC CXCZTGXK MXXM DLC CXYQI,vigenere
She took a deep breath before stepping onto the stage,HSV GLLP Z WVVK YIVZGS YVULIV HGVKKRMT LMGL GSV HGZTV,atbash
She took a deep breath before stepping onto the stage,URC ZAAG I XCCF NPCIZR NCHAPC UZCFFWVM AVZA ZRC UZIMC,affine
She took a deep breath before stepping onto the stage,PLKUWZYRGDYNCDYDVFDWLKDKMZYNQHUNESZKVFONVRND,playfair
She took a deep breath before stepping onto the stage,St ebteeenntseh okade rahbfr tpigot h tgeo pe osp oea,rail_fence
She took a deep breath before stepping onto the stage,10010 00111 00100 10011 01110 01110 01010 00000 00011 00100 00100 01111 00001 10001 00100 00000 10011 00111 00001 00100 00101 01110 10001 00100 10010 10011 00100 01111 01111 01000 01101 00110 01110 01101 10011 01110 10011 00111 00100 10010 10011 00000 00110 00100,bacon
The rain started to pour heavily,Vjg tckp uvctvgf vq rqwt jgcxkna,caesar
The rain started to pour heavily,BPT GUIF YBUGBTO BR MRJG PTUNIDX,substitution
The rain started to pour heavily,ylivaeh ruop ot detrats niar ehT,transposition
The rain started to pour heavily,LLG IEBF WVRVMWH VF THMV JVEOAPA,vigenere
The rain started to pour heavily,GSV IZRM HGZIGVW GL KLFI SVZEROB,atbash
The rain started to pour heavily,ZRC PIWV UZIPZCX ZA FAEP RCIJWLY,affine
The rain started to pour heavily,VFKDBHPMVRFKDGZKSYTDGYHYLFWV,playfair
The rain started to pour heavily,Tr r p vh ansatdt orhaiyeiteouel,rail_fence
The rain started to pour heavily,10011 00111 00100 10001 00000 01000 01101 10010 10011 00000 10001 10011 00100 00011 10011 01110 01111 01110 10100 10001 00111 00100 00000 10101 01000 01011 11000,bacon
He looked out the window at the bustling city,By fiieyx ion nby qchxiq un nby vomnfcha wcns,caesar
He looked out the window at the bustling city,QY CXXZYL XOA AQY HBRLXH TA AQY JONACBRM SBAD,substitution
He looked out the window at the bustling city,ytic gniltsub eht ta wodniw eht tuo dekool eH,transposition
He looked out the window at the bustling city,JS OSQYHH QIW XJS ZMPRRA CH WLG PXWVZLRI QLXA,vigenere
He looked out the window at the bustling city,SV OLLPVW LFG GSV DRMWLD ZG GSV YFHGORMT XRGB,atbash
He looked out the window at the bustling city,RC LAAGCX AEZ ZRC OWVXAO IZ ZRC NEUZLWVM SWZY,affine
He looked out the window at the bustling city,GYSCKEDGEZUZGYBQUGKORVVFWDZNZFGQLDFXWV,playfair
He looked out the window at the bustling city,Hodten tbl yeloe u h idwa h utigct kotwotesni,rail_fence
He looked out the window at the bustling city,00111 00100 01011 01110 01110 01010 00100 00011 01110 10100 10011 10011 00111 00100 10110 01000 01101 00011 01110 10110 00000 10011 10011 00111 00100 00001 10100 10010 10011 01011 01000 01101 00110 00010 01000 10011 11000,bacon
She closed her eyes and listened to the sounds of nature,Cro mvycon rob oioc kxn vscdoxon dy dro cyexnc yp xkdebo,caesar
She closed her eyes and listened to the sounds of nature,CLD ZMECDX LDN DGDC UQX MSCYDQDX YE YLD CEHQXC EI QUYHND,substitution
She closed her eyes and listened to the sounds of nature,erutan fo sdnuos eht ot denetsil dna seye reh desolc ehS,transposition
She closed her eyes and listened to the sounds of nature,UVH GNCVIF VHV GMHW CBG PKGWIPSG XQ HKI UCXRFG RJ POWYTS,vigenere
She closed her eyes and listened to the sounds of nature,HSV XOLHVW SVI VBVH ZMW ORHGVMVW GL GSV HLFMWH LU MZGFIV,atbash
She closed her eyes and listened to the sounds of nature,URC SLAUCX RCP CYCU IVX LWUZCVCX ZA ZRC UAEVXU AH VIZEPC,affine
She closed her eyes and listened to the sounds of nature,PLODSCNOAGKDYWONDPCGLQUKUDRUKZGYZCEUCNKLPDUVDK,playfair
She closed her eyes and listened to the sounds of nature,Sceeyale tsdfth lsdhree n itndt h onso aueeo  sdseoeu nr,rail_fence
She closed her eyes and listened to the sounds of nature,10010 00111 00100 00010 01011 01110 10010 00100 00011 00111 00100 10001 00100 11000 00100 10010 00000 01101 00011 01011 01000 10010 10011 00100 01101 00100 00011 10011 01110 10011 00111 00100 10010 01110 10100 01101 00011 10010 01110 00101 01101 00000 10011 10100 10001 00100,bacon
The old bridge crossed the quiet stream,Uif pme csjehf dspttfe uif rvjfu tusfbn,caesar
The old bridge crossed the quiet stream,XAB WHT RILTQB GIWUUBT XAB YELBX UXIBSO,substitution
The old bridge crossed the quiet stream,maerts teiuq eht dessorc egdirb dlo ehT,transposition
The old bridge crossed the quiet stream,DLC YPB LVGNKC MVMCWCN XFO USSIR CXPOEK,vigenere
The old bridge crossed the quiet stream,GSV LOW YIRWTV XILHHVW GSV JFRVG HGIVZN,atbash
The old bridge crossed the quiet stream,ZRC ALX NPWXMC SPAUUCX ZRC KEWCZ UZPCIQ,affine
The old bridge crossed the quiet stream,VFYKGCCDGBNDRDCZNORUGYNXGWZMKFYDQT,playfair
The old bridge crossed the quiet stream,Tobgrehu eh l rdecosdteqitsraedi s  etm,rail_fence
The old bridge crossed the quiet stream,10011 00111 00100 01110 01011 00011 00001 10001 01000 00011 00110 00100 00010 10001 01110 10010 10010 00100 00011 10011 00111 00100 10000 10100 01000 00100 10011 10010 10011 10001 00100 00000 01100,bacon
The scent of roses lingered in the air,Jxu isudj ev heiui bydwuhut yd jxu qyh,caesar
The scent of roses lingered in the air,DXM PSMHD YU QYPMP IOHCMQMN OH DXM FOQ,substitution
The scent of roses lingered in the air,ria eht ni deregnil sesor fo tnecs ehT,transposition
The scent of roses lingered in the air,DLC CGCXX MP VMCIQ VMLQIPOH GX XFO EGB,vigenere
The scent of roses lingered in the air,GSV HXVMG LU ILHVH ORMTVIVW RM GSV ZRI,atbash
The scent of roses lingered in the air,ZRC USCVZ AH PAUCU LWVMCPCX WV ZRC IWP,affine
